iter	Passed	Remaining
0	242	96912
1	347	69245
2	449	59420
3	549	54367
4	652	51540
5	748	49135
6	864	48554
7	974	47756
8	1076	46747
9	1179	46002
10	1413	49983
11	1508	48767
12	1609	47910
13	1730	47704
14	1831	47003
15	1933	46392
16	2034	45829
17	2136	45333
18	2232	44760
19	2335	44383
20	2442	44081
21	2543	43694
22	2644	43344
23	2743	42984
24	2847	42706
25	2948	42416
26	3051	42158
27	3151	41868
28	3251	41591
29	3354	41375
30	3461	41200
31	3561	40952
32	3701	41163
33	3824	41171
34	3962	41319
35	4097	41430
36	4206	41273
37	4333	41280
38	4446	41154
39	4552	40976
40	4674	40926
41	4826	41144
42	4953	41124
43	5068	41012
44	5171	40798
45	5279	40625
46	5385	40451
47	5479	40179
48	5579	39969
49	5686	39808
50	5802	39706
51	5906	39528
52	6020	39420
53	6122	39228
54	6243	39165
55	6343	38965
56	6457	38855
57	6556	38659
58	6655	38467
59	6771	38373
60	6975	38762
61	7077	38585
62	7177	38391
63	7314	38400
64	7411	38195
65	7517	38045
66	7616	37854
67	7717	37679
68	7753	37196
69	7852	37019
70	7955	36862
71	8056	36700
72	8158	36546
73	8265	36411
74	8372	36280
75	8478	36145
76	8577	35981
77	8678	35828
78	8777	35664
79	8883	35533
80	8983	35379
81	9084	35229
82	9192	35107
83	9295	34968
84	9404	34850
85	9514	34739
86	9626	34631
87	9737	34522
88	9840	34384
89	9940	34238
90	10042	34098
91	10141	33950
92	10247	33828
93	10342	33666
94	10441	33522
95	10552	33414
96	10654	33280
97	10752	33134
98	10854	33003
99	10956	32870
100	11054	32726
101	11155	32590
102	11259	32467
103	11363	32342
104	11431	32116
105	11540	32008
106	11644	31886
107	11742	31748
108	11845	31623
109	11950	31504
110	12051	31377
111	12152	31250
112	12254	31125
113	12291	30836
114	12478	30925
115	12552	30731
116	12642	30580
117	12745	30458
118	12850	30344
119	12978	30283
120	13083	30167
121	13184	30044
122	13285	29919
123	13383	29788
124	13484	29666
125	13593	29560
126	13664	29372
127	13762	29245
128	13870	29138
129	13986	29049
130	14115	28984
131	14239	28910
132	14337	28783
133	14439	28664
134	14554	28569
135	14608	28357
136	14645	28115
137	14745	27995
138	14850	27884
139	14954	27773
140	15062	27668
141	15165	27553
142	15218	27351
143	15316	27229
144	15421	27119
145	15518	26998
146	15594	26839
147	15708	26747
148	15808	26631
149	15907	26513
150	16005	26393
151	16104	26275
152	16142	26059
153	16239	25941
154	16341	25830
155	16439	25713
156	16538	25597
157	16646	25496
158	16746	25383
159	16849	25274
160	16950	25162
161	17051	25051
162	17152	24939
163	17253	24827
164	17353	24715
165	17455	24605
166	17553	24490
167	17592	24294
168	17694	24186
169	17806	24091
170	17909	23983
171	18177	24095
172	18317	24034
173	18431	23940
174	18544	23842
175	18651	23738
176	18760	23636
177	18865	23529
178	18975	23428
179	19087	23328
180	19186	23214
181	19291	23107
182	19392	22995
183	19491	22881
184	19590	22766
185	19694	22658
186	19796	22549
187	19894	22434
188	19995	22323
189	20092	22207
190	20194	22097
191	20298	21990
192	20401	21881
193	20501	21769
194	20607	21664
195	20715	21560
196	20815	21449
197	20909	21332
198	21006	21218
199	21109	21109
200	21211	21000
201	21311	20889
202	21414	20781
203	21522	20678
204	21620	20566
205	21734	20468
206	21834	20357
207	21938	20250
208	22038	20140
209	22141	20032
210	22243	19924
211	22349	19819
212	22452	19711
213	22550	19600
214	22654	19493
215	22761	19389
216	22862	19280
217	22963	19171
218	23063	19061
219	23163	18952
220	23265	18844
221	23367	18735
222	23471	18629
223	23601	18543
224	23774	18491
225	23871	18378
226	23970	18268
227	24078	18164
228	24192	18065
229	24294	17956
230	24399	17850
231	24502	17743
232	24603	17634
233	24700	17522
234	24807	17417
235	24908	17309
236	25011	17202
237	25124	17101
238	25245	17006
239	25367	16911
240	25488	16815
241	25632	16735
242	25735	16627
243	25845	16524
244	25944	16414
245	26042	16303
