record_id,customer_id,payment_timestamp,amount,decline_reason,is_hard_decline,payment_method,customer_segment,customer_tenure_months,days_overdue,retry_count_so_far,past_payment_success_rate,historical_engagement_score,previous_failed_payments,previous_recovered_payments,recovery_action,retry_delay_hours,action_cost,recovery_probability,recovered,recovered_amount,time_to_recovery,p_recovery_retry_2h,p_recovery_retry_24h,p_recovery_payment_link,p_recovery_escalation
REC000000,CUST00000,2026-01-16 23:05:46.098232,1913.26,card_expired,True,upi_autopay,individual,32,3,1,0.9675768869756423,0.1159377410650179,0,0,payment_link,6.0,20,0.6366,0,0.0,,0.2933,0.3919,0.6366,0.6366
REC000001,CUST00000,2026-06-03 11:10:17.516593,17601.29,bank_decline,False,netbanking,individual,32,24,3,0.8615680049807137,0.12084451198162612,1,0,payment_link,6.0,20,0.1123,0,0.0,,0.0091,0.0713,0.1123,0.1726
REC000002,CUST00001,2026-01-28 03:24:34.940104,6338.28,insufficient_funds,False,netbanking,enterprise,17,10,1,0.7614532379159974,0.40699773923142507,0,0,retry_24h,24.0,0,0.5925,0,0.0,,0.4438,0.5925,0.5185,0.7454
REC000003,CUST00002,2026-04-30 05:07:18.405364,591.22,bank_decline,False,card,smb,9,14,0,0.6871506209420958,0.22015529463728592,0,0,retry_2h,2.0,0,0.0535,0,0.0,,0.0535,0.1746,0.2586,0.3651
REC000004,CUST00002,2026-07-12 14:15:05.698776,7090.8,bank_decline,False,card,smb,9,1,0,0.650861878753883,0.17709961413928532,1,0,payment_link,6.0,20,0.2614,0,0.0,,0.1396,0.1767,0.2614,0.3684
REC000005,CUST00003,2025-12-10 04:14:41.955211,11340.07,insufficient_funds,False,nach,smb,7,40,1,0.6611285828658928,0.2538608013256047,0,0,escalation,48.0,500,0.2746,1,11340.07,45.6,0.0152,0.2366,0.1867,0.2746
REC000006,CUST00004,2025-10-22 06:12:16.648893,2264.18,card_expired,True,netbanking,individual,10,2,0,0.9196873701834198,0.4441676500523881,0,0,payment_link,6.0,20,0.7875,1,2264.18,52.5,0.4875,0.5769,0.7875,0.7875
REC000007,CUST00005,2025-09-27 05:25:43.237784,27380.15,technical_error,False,nach,individual,15,14,2,0.608654092046157,0.3552871072811134,0,0,payment_link,6.0,20,0.3557,1,27380.15,35.5,0.229,0.2508,0.3557,0.4765
REC000008,CUST00005,2026-01-21 02:14:40.073397,1773.89,disputed,True,card,individual,15,2,1,0.5942320714246929,0.20373222362832882,1,1,escalation,48.0,500,0.189,0,0.0,,0.0386,0.0544,0.0866,0.189
REC000009,CUST00006,2025-09-10 09:56:12.857475,7204.68,technical_error,False,upi_autopay,individual,6,8,1,0.8931485413710921,0.48447357109452266,0,0,payment_link,6.0,20,0.646,0,0.0,,0.6134,0.5253,0.646,0.7505
REC000010,CUST00006,2026-01-05 12:49:04.890148,9328.25,insufficient_funds,False,netbanking,individual,6,0,0,0.9154223192304396,0.4941393838442497,1,0,retry_24h,24.0,0,0.6721,1,9328.25,11.1,0.7145,0.6721,0.6029,0.7145
REC000011,CUST00006,2026-07-26 18:18:43.153547,34150.66,card_expired,True,netbanking,individual,6,6,0,0.8872832506109002,0.44498716809712935,2,1,payment_link,6.0,20,0.7641,1,34150.66,30.0,0.3764,0.5436,0.7641,0.7641
REC000012,CUST00007,2025-12-09 01:35:20.311836,7474.85,technical_error,False,card,smb,21,1,1,0.8639678140398689,0.15420611172619672,0,0,retry_2h,2.0,0,0.6398,0,0.0,,0.6398,0.4145,0.5386,0.6581
REC000013,CUST00007,2026-04-19 21:40:52.287550,7265.9,card_expired,True,netbanking,smb,21,0,1,0.8390908815508418,0.1370187397915167,1,0,payment_link,6.0,20,0.5728,1,7265.9,18.2,0.2877,0.3304,0.5728,0.5728
REC000014,CUST00007,2026-06-04 23:17:10.884064,13119.93,disputed,True,nach,smb,21,0,1,0.8485548134055549,0.18854275498894368,2,1,escalation,48.0,500,0.2704,0,0.0,,0.0696,0.0837,0.1309,0.2704
REC000015,CUST00008,2026-02-26 05:58:54.327803,4318.67,fraud_flag,True,nach,smb,5,2,3,0.9519227394699559,0.2993023872872852,0,0,payment_link,6.0,20,0.0494,1,4318.67,6.6,0.0215,0.0306,0.0494,0.0188
REC000016,CUST00008,2026-03-25 17:02:56.098806,5544.08,technical_error,False,upi_autopay,smb,5,6,2,0.8680146552920105,0.2705752343543307,1,1,payment_link,6.0,20,0.5046,0,0.0,,0.5096,0.3818,0.5046,0.6267
REC000017,CUST00009,2025-11-24 00:57:03.400931,231.47,insufficient_funds,False,nach,smb,7,0,0,0.6885481150268136,0.13277643704076456,0,0,stop,,0,0.0624,1,231.47,155.7,0.4974,0.4476,0.3751,0.4974
REC000018,CUST00009,2026-06-27 01:02:50.067793,7778.84,bank_decline,False,nach,smb,7,0,1,0.7125117312133202,0.1364562426154852,1,1,payment_link,6.0,20,0.2521,0,0.0,,0.1434,0.1698,0.2521,0.3572
REC000019,CUST00009,2026-08-09 01:33:53.112804,2654.96,bank_decline,False,netbanking,smb,7,0,2,0.709750594685147,0.19590610535090486,2,1,retry_2h,2.0,0,0.1132,0,0.0,,0.1132,0.1349,0.2045,0.2976
REC000020,CUST00010,2026-01-11 09:08:14.270137,1249.19,insufficient_funds,False,nach,individual,26,5,1,0.8317318861293227,0.206102865824344,0,0,retry_24h,24.0,0,0.4485,0,0.0,,0.3997,0.4485,0.376,0.4983
REC000021,CUST00010,2026-02-25 15:29:27.856639,487.98,technical_error,False,card,individual,26,0,1,0.7519108027545071,0.23874181862134716,1,0,retry_2h,2.0,0,0.6182,0,0.0,,0.6182,0.3733,0.4955,0.6182
REC000022,CUST00010,2026-02-28 15:50:40.126933,3184.71,disputed,True,netbanking,individual,26,1,2,0.8074848081838673,0.24311483721222477,2,0,retry_24h,24.0,0,0.0531,0,0.0,,0.0407,0.0531,0.0846,0.1853
REC000023,CUST00010,2026-04-29 12:33:51.184186,1071.18,insufficient_funds,False,nach,individual,26,1,1,0.8307586005098198,0.23538663229168025,3,0,retry_2h,2.0,0,0.4576,0,0.0,,0.4576,0.4281,0.3567,0.4776
REC000024,CUST00011,2026-04-20 08:18:03.633787,1610.75,insufficient_funds,False,card,enterprise,19,6,2,0.864925931634367,0.3666150403660669,0,0,retry_24h,24.0,0,0.5736,1,1610.75,48.2,0.5041,0.5736,0.4991,0.7304
REC000025,CUST00012,2025-12-26 08:09:27.080271,14006.3,insufficient_funds,False,upi_autopay,smb,5,8,1,0.4902124257044894,0.15427498367866188,0,0,stop,,0,0.0284,0,0.0,,0.1865,0.2626,0.2087,0.3031
REC000026,CUST00012,2026-03-13 16:42:03.044553,2440.72,insufficient_funds,False,nach,smb,5,0,0,0.5253735813736008,0.21028286044213426,1,0,retry_2h,2.0,0,0.4215,0,0.0,,0.4215,0.3736,0.3064,0.4215
REC000027,CUST00012,2026-08-12 00:56:27.060517,1490.82,card_expired,True,upi_autopay,smb,5,12,7,0.5398234763443949,0.15976097845498874,2,0,payment_link,6.0,20,0.0855,0,0.0,,0.0107,0.0333,0.0855,0.0855
REC000028,CUST00013,2025-10-04 04:49:29.129672,2222.96,insufficient_funds,False,nach,individual,10,0,1,1.0,0.4219664447293413,0,0,retry_2h,2.0,0,0.6846,1,2222.96,9.8,0.6846,0.6399,0.5684,0.6846
REC000029,CUST00013,2026-01-21 15:17:34.535890,6681.84,mandate_revoked,True,upi_autopay,individual,10,1,0,0.930957806804848,0.42176817013318535,1,1,payment_link,6.0,20,0.5215,1,6681.84,39.7,0.2326,0.2862,0.5215,0.5215
REC000030,CUST00013,2026-05-12 18:49:23.961693,4331.24,insufficient_funds,False,card,individual,10,2,3,1.0,0.4356740915848821,2,2,retry_24h,24.0,0,0.5167,1,4331.24,34.4,0.5267,0.5167,0.442,0.5663
REC000031,CUST00014,2025-11-12 05:43:02.604998,1737.01,insufficient_funds,False,nach,individual,4,0,0,0.7881146196268586,0.11714821207926444,0,0,escalation,48.0,500,0.5408,1,1737.01,70.8,0.5408,0.4909,0.4167,0.5408
REC000032,CUST00014,2025-12-23 20:26:35.767155,10669.76,bank_decline,False,upi_autopay,individual,4,5,2,0.7664233890498324,0.10639763569928659,1,1,payment_link,6.0,20,0.1935,0,0.0,,0.0739,0.127,0.1935,0.2834
REC000033,CUST00014,2026-01-25 13:42:50.235272,1423.32,bank_decline,False,nach,individual,4,6,1,0.7629587364806726,0.10935959656515011,2,1,payment_link,6.0,20,0.2296,0,0.0,,0.0839,0.1531,0.2296,0.3295
REC000034,CUST00014,2026-05-11 10:58:26.529318,5520.89,insufficient_funds,False,upi_autopay,individual,4,1,1,0.8252290274165585,0.15502754654864506,3,1,retry_2h,2.0,0,0.466,1,5520.89,5.7,0.466,0.4363,0.3644,0.486
REC000035,CUST00014,2026-06-10 23:28:48.829359,5192.48,insufficient_funds,False,nach,individual,4,2,2,0.7825271221858743,0.06884478496707765,4,2,retry_24h,24.0,0,0.3249,0,0.0,,0.3337,0.3249,0.2628,0.3702
REC000036,CUST00014,2026-06-19 19:58:20.200306,2560.42,insufficient_funds,False,netbanking,individual,4,10,0,0.8002820602386252,0.06837819954350483,5,2,retry_24h,24.0,0,0.4294,0,0.0,,0.2923,0.4294,0.358,0.479
