iter	Passed	Remaining
0	193	77043
1	231	46036
2	270	35827
3	308	30562
4	402	31763
5	443	29094
6	484	27199
7	531	26061
8	581	25266
9	620	24200
10	657	23256
11	703	22758
12	742	22102
13	780	21530
14	821	21075
15	864	20746
16	903	20358
17	942	19995
18	980	19660
19	1020	19386
20	1058	19096
21	1138	19567
22	1175	19270
23	1213	19018
24	1255	18826
25	1296	18654
26	1334	18442
27	1374	18267
28	1413	18082
29	1454	17937
30	1492	17761
31	1529	17590
32	1569	17451
33	1607	17309
34	1645	17162
35	1683	17018
36	1743	17109
37	1784	16997
38	1827	16912
39	1871	16847
40	1910	16732
41	1949	16618
42	1989	16516
43	2027	16407
44	2066	16304
45	2104	16193
46	2144	16107
47	2175	15950
48	2211	15840
49	2257	15803
50	2299	15735
51	2337	15639
52	2376	15562
53	2415	15480
54	2459	15429
55	2498	15347
56	2536	15261
57	2576	15192
58	2614	15108
59	2651	15023
60	2699	15000
61	2743	14958
62	2788	14917
63	2832	14868
64	2875	14818
65	2917	14764
66	2959	14710
67	3002	14656
68	3019	14484
69	3060	14428
70	3104	14383
71	3149	14345
72	3191	14298
73	3233	14246
74	3277	14203
75	3321	14160
76	3366	14119
77	3407	14068
78	3450	14022
79	3494	13978
80	3536	13927
81	3574	13863
82	3614	13804
83	3651	13737
84	3689	13673
85	3730	13620
86	3769	13563
87	3807	13498
88	3847	13443
89	3886	13388
90	3924	13327
91	3963	13268
92	4001	13208
93	4040	13153
94	4077	13092
95	4116	13035
96	4164	13007
97	4216	12994
98	4256	12940
99	4294	12883
100	4333	12830
101	4374	12780
102	4412	12722
103	4453	12674
104	4479	12586
105	4518	12531
106	4556	12476
107	4597	12429
108	4634	12373
109	4672	12318
110	4711	12267
111	4751	12219
112	4789	12164
113	4803	12052
114	4840	11996
115	4869	11922
116	4907	11870
117	4945	11819
118	4983	11768
119	5024	11724
120	5063	11675
121	5102	11626
122	5140	11576
123	5179	11528
124	5221	11487
125	5261	11441
126	5286	11363
127	5325	11317
128	5364	11269
129	5400	11217
130	5440	11170
131	5478	11122
132	5562	11165
133	5605	11126
134	5647	11085
135	5667	11001
136	5684	10911
137	5730	10879
138	5768	10832
139	5809	10789
140	5848	10742
141	5888	10698
142	5908	10618
143	5944	10567
144	5981	10519
145	6034	10498
146	6067	10443
147	6104	10394
148	6142	10348
149	6183	10306
150	6220	10258
151	6260	10214
152	6275	10130
153	6315	10089
154	6353	10043
155	6392	9999
156	6431	9954
157	6471	9912
158	6508	9865
159	6546	9820
160	6584	9774
161	6625	9733
162	6661	9686
163	6700	9641
164	6740	9599
165	6780	9557
166	6817	9512
167	6831	9433
168	6868	9388
169	6909	9347
170	6946	9303
171	6984	9258
172	7024	9217
173	7063	9173
174	7101	9130
175	7139	9086
176	7180	9046
177	7218	9003
178	7257	8960
179	7295	8916
180	7335	8875
181	7378	8837
182	7426	8806
183	7473	8773
184	7520	8739
185	7566	8705
186	7614	8672
187	7651	8628
188	7690	8585
189	7726	8540
190	7769	8502
191	7808	8459
192	7848	8417
193	7885	8373
194	7944	8351
195	7983	8309
196	8021	8265
197	8060	8223
198	8097	8178
199	8136	8136
200	8174	8093
201	8214	8052
202	8253	8009
203	8290	7965
204	8331	7925
205	8370	7882
206	8415	7845
207	8452	7802
208	8493	7761
209	8532	7719
210	8569	7676
211	8608	7634
212	8647	7591
213	8686	7550
214	8725	7508
215	8766	7467
216	8805	7425
217	8843	7382
218	8881	7340
219	8921	7299
220	8959	7256
221	8996	7213
222	9035	7171
223	9075	7130
224	9114	7088
225	9153	7047
226	9193	7006
227	9231	6963
228	9273	6924
229	9312	6882
230	9351	6841
231	9390	6800
232	9435	6763
233	9479	6724
234	9517	6682
235	9555	6640
236	9594	6598
237	9633	6557
238	9670	6514
239	9709	6473
240	9756	6436
241	9807	6403
242	9844	6360
243	9885	6320
244	9924	6278
245	9962	6236
246	10000	6194
247	10041	6154
248	10082	6114
249	10125	6075
250	10168	6036
251	10210	5996
252	10251	5956
253	10294	5917
254	10335	5877
255	10375	5836
256	10414	5794
257	10454	5753
258	10492	5712
259	10529	5669
260	10567	5627
261	10607	5586
262	10645	5545
263	10684	5504
264	10780	5492
265	10818	5450
266	10862	5411
267	10907	5372
268	10945	5330
269	10983	5288
270	11026	5248
271	11070	5209
272	11109	5168
273	11148	5126
274	11187	5085
275	11225	5043
276	11266	5002
277	11307	4962
278	11346	4921
279	11385	4879
280	11424	4838
281	11465	4797
282	11503	4756
283	11541	4714
284	11580	4672
285	11637	4638
286	11678	4597
287	11716	4556
288	11757	4515
289	11795	4474
290	11834	4433
291	11874	4391
292	11915	4351
293	11952	4309
294	11989	4267
295	12029	4226
296	12068	4185
297	12107	4144
298	12145	4102
299	12186	4062
300	12225	4020
301	12265	3980
302	12302	3938
303	12342	3897
304	12385	3857
305	12423	3816
306	12462	3775
307	12500	3733
308	12539	3692
309	12577	3651
310	12618	3611
311	12656	3569
312	12695	3528
313	12732	3487
314	12772	3446
315	12811	3405
316	12851	3364
317	12888	3323
318	12929	3282
319	12968	3242
320	13006	3200
321	13045	3160
322	13085	3119
323	13124	3078
324	13161	3037
325	13201	2996
326	13240	2955
327	13280	2915
328	13320	2874
329	13360	2834
330	13399	2793
331	13437	2752
332	13486	2713
333	13534	2674
334	13571	2633
335	13614	2593
336	13653	2552
337	13692	2511
338	13731	2470
339	13772	2430
340	13811	2389
341	13849	2348
342	13888	2308
343	13928	2267
344	13965	2226
345	14002	2185
346	14041	2144
347	14081	2104
348	14119	2063
349	14156	2022
350	14197	1982
351	14235	1941
352	14276	1900
353	14320	1860
354	14360	1820
355	14399	1779
356	14443	1739
357	14483	1699
358	14521	1658
359	14560	1617
360	14598	1577
361	14638	1536
362	14676	1495
363	14715	1455
364	14756	1414
365	14795	1374
366	14833	1333
367	14871	1293
368	14913	1252
369	14951	1212
370	14992	1171
371	15031	1131
372	15070	1090
373	15109	1050
374	15147	1009
375	15187	969
376	15224	928
377	15264	888
378	15303	847
379	15361	808
380	15401	768
381	15439	727
382	15484	687
383	15521	646
384	15558	606
385	15597	565
386	15639	525
387	15677	484
388	15715	444
389	15754	403
390	15801	363
391	15840	323
392	15878	282
393	15979	243
394	16019	202
395	16070	162
396	16110	121
397	16149	81
398	16189	40
399	16228	0
